"run_stamp","tool","view_name","view_mode","processing_scope","write_mode","parameter_target_mode","worksharing_mode","element_id","category","family","type","level","name","size_text","parsed_width","parsed_height","parsed_diameter","target_parameter","requested_value","actual_before","actual_after","outcome","reason","target_scope","target_kind","target_param_id","target_definition_name","target_storage","target_is_read_only","candidate_count","selected_target_count"
"20260814_142509","NWB Dim AutoFill","Multi-Category Schedule 2","schedule","view","skip","SharedOnly","skip-other-users","264298","Duct Systems","Duct System","","","SPS 5","","","","","","","","","SKIP","size empty","","","","","","","",""
"20260814_142509","NWB Dim AutoFill","Multi-Category Schedule 2","schedule","view","skip","SharedOnly","skip-other-users","269814","Duct Systems","Duct System","","","SPS 3","","","","","","","","","SKIP","size empty","","","","","","","",""
"20260814_142509","NWB Dim AutoFill","Multi-Category Schedule 2","schedule","view","skip","SharedOnly","skip-other-users","270499","Ducts","Rectangular Duct","","GROUND","Flanged Long Radius Elbows / Shoe Branch","2350x1175","2350","1175","","NWB_DimDiameter","","","","SKIP","no parsed value","","","","NWB_DimDiameter","","","",""
"20260814_142509","NWB Dim AutoFill","Multi-Category Schedule 2","schedule","view","skip","SharedOnly","skip-other-users","270634","Ducts","Rectangular Duct","","GROUND","Flanged Long Radius Elbows / Shoe Branch","2350x1175","2350","1175","","NWB_DimWidth","2350","2350","2350","SKIP","existing-kept","instance","Shared Parameter","7626175","NWB_DimWidth","String","False","1","1"
"20260814_142509","NWB Dim AutoFill","Multi-Category Schedule 2","schedule","view","skip","SharedOnly","skip-other-users","270634","Ducts","Rectangular Duct","","GROUND","Flanged Long Radius Elbows / Shoe Branch","2350x1175","2350","1175","","NWB_DimHeight","1175","1175","1175","SKIP","existing-kept","instance","Shared Parameter","7626170","NWB_DimHeight","String","False","1","1"
"20260814_142509","NWB Dim AutoFill","Multi-Category Schedule 2","schedule","view","skip","SharedOnly","skip-other-users","270634","Ducts","Rectangular Duct","","GROUND","Flanged Long Radius Elbows / Shoe Branch","2350x1175","2350","1175","","NWB_DimDiameter","","","","SKIP","no parsed value","","","","NWB_DimDiameter","","","",""
"20260814_142509","NWB Dim AutoFill","Multi-Category Schedule 2","schedule","view","skip","SharedOnly","skip-other-users","489601","Generic Models","MHT-ME-GM-Placeholder","","LEVEL 01","MHT-ME-GM-Placeholder 1","","","","","","","","","SKIP","size empty","","","","","","","",""
"20260814_142509","NWB Dim AutoFill","Multi-Category Schedule 2","schedule","view","skip","SharedOnly","skip-other-users","490749","Generic Models","MHT-ME-GM-Placeholder","","LEVEL 02","MHT-ME-GM-Placeholder 1","","","","","","","","","SKIP","size empty","","","","","","","",""
"20260814_142509","NWB Dim AutoFill","Multi-Category Schedule 2","schedule","view","skip","SharedOnly","skip-other-users","491064","Generic Models","MHT-ME-GM-Placeholder","","LEVEL 03","MHT-ME-GM-Placeholder 1","","","","","","","","","SKIP","size empty","","","","","","","",""
"20260814_142509","NWB Dim AutoFill","Multi-Category Schedule 2","schedule","view","skip","SharedOnly","skip-other-users","495147","Generic Models","MHT-ME-GM-Placeholder","","LEVEL 06","MHT-ME-GM-Placeholder 1","","","","","","","","","SKIP","size empty","","","","","","","",""
"20260814_142509","NWB Dim AutoFill","Multi-Category Schedule 2","schedule","view","skip","SharedOnly","skip-other-users","497104","Generic Models","MHT-ME-GM-Placeholder","","LEVEL 12","MHT-ME-GM-Placeholder 1","","","","","","","","","SKIP","size empty","","","","","","","",""
"20260814_142509","NWB Dim AutoFill","Multi-Category Schedule 2","schedule","view","skip","SharedOnly","skip-other-users","517135","Ducts","Rectangular Duct","","LEVEL 06","Flanged Long Radius Elbows / Shoe Branch","1200x850","1200","850","","NWB_DimWidth","1200","2350","2350","SKIP","existing-kept","instance","Shared Parameter","7626175","NWB_DimWidth","String","False","1","1"
"20260814_142509","NWB Dim AutoFill","Multi-Category Schedule 2","schedule","view","skip","SharedOnly","skip-other-users","517135","Ducts","Rectangular Duct","","LEVEL 06","Flanged Long Radius Elbows / Shoe Branch","1200x850","1200","850","","NWB_DimHeight","850","1175","1175","SKIP","existing-kept","instance","Shared Parameter","7626170","NWB_DimHeight","String","False","1","1"
"20260814_142509","NWB Dim AutoFill","Multi-Category Schedule 2","schedule","view","skip","SharedOnly","skip-other-users","517135","Ducts","Rectangular Duct","","LEVEL 06","Flanged Long Radius Elbows / Shoe Branch","1200x850","1200","850","","NWB_DimDiameter","","","","SKIP","no parsed value","","","","NWB_DimDiameter","","","",""
"20260814_142509","NWB Dim AutoFill","Multi-Category Schedule 2","schedule","view","skip","SharedOnly","skip-other-users","517136","Duct Systems","Duct System","","","Mechanical PNEUMATIC RISER 1","","","","","","","","","SKIP","size empty","","","","","","","",""
"20260814_142509","NWB Dim AutoFill","Multi-Category Schedule 2","schedule","view","skip","SharedOnly","skip-other-users","523732","Generic Models","MHT-ME-GM-Placeholder","","LEVEL 07","MHT-ME-GM-Placeholder 1","","","","","","","","","SKIP","size empty","","","","","","","",""
"20260814_142509","NWB Dim AutoFill","Multi-Category Schedule 2","schedule","view","skip","SharedOnly","skip-other-users","1283824","Generic Models","MHT-ME-GM-Access Zone","","LEVEL 06","MHT-ME-GM-Access Zone","","","","","","","","","SKIP","size empty","","","","","","","",""
"20260814_142509","NWB Dim AutoFill","Multi-Category Schedule 2","schedule","view","skip","SharedOnly","skip-other-users","1283879","Generic Models","MHT-ME-GM-Access Zone","","LEVEL 06","MHT-ME-GM-Access Zone","","","","","","","","","SKIP","size empty","","","","","","","",""
"20260814_142509","NWB Dim AutoFill","Multi-Category Schedule 2","schedule","view","skip","SharedOnly","skip-other-users","1284585","Generic Models","MHT-ME-GM-Access Zone","","LEVEL 06","MHT-ME-GM-Access Zone","","","","","","","","","SKIP","size empty","","","","","","","",""
