"run_stamp","tool","view_name","view_mode","processing_scope","write_mode","parameter_target_mode","worksharing_mode","element_id","category","family","type","level","name","size_text","parsed_width","parsed_height","parsed_diameter","target_parameter","requested_value","actual_before","actual_after","outcome","reason","target_scope","target_kind","target_param_id","target_definition_name","target_storage","target_is_read_only","candidate_count","selected_target_count"
"20260817_024947","NWB Dim AutoFill","{3D - Gino.MorenoHVPST}","model","view","skip","Both","skip-other-users","6954820","Ducts","Rectangular Duct","","GROUND","Flanged Short Radius Elbows / Shoe Branch","500x650","500","650","","NWB_DimWidth","500","1500","1500","SKIP","existing-kept","instance","Shared Parameter","7626175","NWB_DimWidth","String","False","1","1"
"20260817_024947","NWB Dim AutoFill","{3D - Gino.MorenoHVPST}","model","view","skip","Both","skip-other-users","6954820","Ducts","Rectangular Duct","","GROUND","Flanged Short Radius Elbows / Shoe Branch","500x650","500","650","","NWB_DimHeight","650","1200","1200","SKIP","existing-kept","instance","Shared Parameter","7626170","NWB_DimHeight","String","False","1","1"
"20260817_024947","NWB Dim AutoFill","{3D - Gino.MorenoHVPST}","model","view","skip","Both","skip-other-users","6954820","Ducts","Rectangular Duct","","GROUND","Flanged Short Radius Elbows / Shoe Branch","500x650","500","650","","NWB_DimDiameter","","","","SKIP","no parsed value","","","","NWB_DimDiameter","","","",""
"20260817_024947","NWB Dim AutoFill","{3D - Gino.MorenoHVPST}","model","view","skip","Both","skip-other-users","7085364","Ducts","Rectangular Duct","","LEVEL 04","VOID RISER_PLACE HOLDER","1300x1300","1300","1300","","NWB_DimWidth","1300","1300","1300","SKIP","existing-kept","instance","Shared Parameter","7626175","NWB_DimWidth","String","False","1","1"
"20260817_024947","NWB Dim AutoFill","{3D - Gino.MorenoHVPST}","model","view","skip","Both","skip-other-users","7085364","Ducts","Rectangular Duct","","LEVEL 04","VOID RISER_PLACE HOLDER","1300x1300","1300","1300","","NWB_DimHeight","1300","1300","1300","SKIP","existing-kept","instance","Shared Parameter","7626170","NWB_DimHeight","String","False","1","1"
"20260817_024947","NWB Dim AutoFill","{3D - Gino.MorenoHVPST}","model","view","skip","Both","skip-other-users","7085364","Ducts","Rectangular Duct","","LEVEL 04","VOID RISER_PLACE HOLDER","1300x1300","1300","1300","","NWB_DimDiameter","","","","SKIP","no parsed value","","","","NWB_DimDiameter","","","",""
"20260817_024947","NWB Dim AutoFill","{3D - Gino.MorenoHVPST}","model","view","skip","Both","skip-other-users","7085442","Ducts","Rectangular Duct","","LEVEL 04","Flanged Medium Radius Elbows / Tap Branch","1200x1200","1200","1200","","NWB_DimWidth","1200","1200","1200","SKIP","existing-kept","instance","Shared Parameter","7626175","NWB_DimWidth","String","False","1","1"
"20260817_024947","NWB Dim AutoFill","{3D - Gino.MorenoHVPST}","model","view","skip","Both","skip-other-users","7085442","Ducts","Rectangular Duct","","LEVEL 04","Flanged Medium Radius Elbows / Tap Branch","1200x1200","1200","1200","","NWB_DimHeight","1200","1200","1200","SKIP","existing-kept","instance","Shared Parameter","7626170","NWB_DimHeight","String","False","1","1"
"20260817_024947","NWB Dim AutoFill","{3D - Gino.MorenoHVPST}","model","view","skip","Both","skip-other-users","7085442","Ducts","Rectangular Duct","","LEVEL 04","Flanged Medium Radius Elbows / Tap Branch","1200x1200","1200","1200","","NWB_DimDiameter","","","","SKIP","no parsed value","","","","NWB_DimDiameter","","","",""
"20260817_024947","NWB Dim AutoFill","{3D - Gino.MorenoHVPST}","model","view","skip","Both","skip-other-users","7085647","Ducts","Rectangular Duct","","LEVEL 02","VOID RISER_PLACE HOLDER","1300x1300","1300","1300","","NWB_DimWidth","1300","1300","1300","SKIP","existing-kept","instance","Shared Parameter","7626175","NWB_DimWidth","String","False","1","1"
