HEADERS
Hierarchy - L1 | Hierarchy - L2 | Hierarchy - L3 | Hierarchy | Main Group - Code | Main Group Name | Sub Group - Code | Sub Group Name | NWB_AusHFG | NMHS_AssetCodes | NWB_MaintainabilityType | NWB_AssetTypeCode | NWB_AssetType | NWB_Discipline | NWB_Category | NWB_Material | NWB_SteelGrade | NWB_ConcreteStrength | NWB_System | NWB_AssetID | NWB_UniclassCode | NWB_UniclassDescription | NWB_DesignPkg | NWB_BuildingPermitPkg | NWB_Department | NWB_ SubDepartment | NWB_RoomID | NWB_RoomName | NWB_DimDiameter | NWB_DimHeight | NWB_DimLength | NWB_DimWidth | NWB_DimArea | NWB_DimVolume | NWB_WBSCode
ROW 46: Buildings | Architecture | Equipment | Buildings\Architecture\Equipment\ACOA | FI | Fixtures & Fittings | HR | Hooks, Brackets & Racks | FIHR | NA | 3 | ACOA | Coat Hook | Architecture | Fixtures | Material Description |  |  | Refer to Systems Table | jhu | Pr_40_30_78_15 | Clothes hooks | Work Package Number - Refer to Work Package Tab | Building Permit Item - Refer to Building Permit Tab |  |  |  |  | From Element Geometry (mm) | From Element Geometry (mm) | From Element Geometry (mm) | From Element Geometry (mm) | From Element Geometry (m²) | From Element Geometry (m³) | Refer to WBS tab - WBS00-WBS01-WBS02-WBS03-WBS04-WBS05 (example "WBH-EA-GR-Z00-CV-EW2")
ROW 50: Buildings | Architecture | Equipment | Buildings\Architecture\Equipment\ADFN | HI | Hydraulic Services | GE | General | HYGE | WFN | 1 | ADFN | Drinking Fountation | Architecture | Equipment | Material Description |  |  | Refer to Systems Table | AssetTypeCode-Building-Level-ElementID (example "DPIT-M-GR-0001") | Pr_40_70_15_24 | Drinking fountains | Work Package Number - Refer to Work Package Tab | Building Permit Item - Refer to Building Permit Tab | dRofus Room Data | dRofus Room Data | Site-Building-Level-XXX.X (example "OPH-M-L1-120.2") | dRofus Room Data | From Element Geometry (mm) | From Element Geometry (mm) | From Element Geometry (mm) | From Element Geometry (mm) | From Element Geometry (m²) | From Element Geometry (m³) | Refer to WBS tab - WBS00-WBS01-WBS02-WBS03-WBS04-WBS05 (example "WBH-EA-GR-Z00-CV-EW2")
ROW 54: Buildings | Architecture | Equipment | Buildings\Architecture\Equipment\AGRB | FI | Fixtures & Fittings | RT | Rails & Tracks | FIRT | NA | 3 | AGRB | Grab rails | Architecture | Equipment | Material Description |  |  | Refer to Systems Table |  | Pr_25_30_36_34 | Grab rails | Work Package Number - Refer to Work Package Tab | Building Permit Item - Refer to Building Permit Tab |  |  |  |  | From Element Geometry (mm) | From Element Geometry (mm) | From Element Geometry (mm) | From Element Geometry (mm) | From Element Geometry (m²) | From Element Geometry (m³) | Refer to WBS tab - WBS00-WBS01-WBS02-WBS03-WBS04-WBS05 (example "WBH-EA-GR-Z00-CV-EW2")
ROW 74: Buildings | Architecture | Fire Doors | Buildings\Architecture\Fire Doors\AFDR | DO | Doors | HI | Hinged | DOHI | FDR | 1 | AFDR | Fire Door | Architecture | Fire Doors | Material Description |  |  | Not Applicable (leave it empty) | AssetTypeCode-Building-Level-ElementID (example "DPIT-M-GR-0001") | Pr_65_12_71_10 | Chute automatic fire doors | Work Package Number - Refer to Work Package Tab | Building Permit Item - Refer to Building Permit Tab | dRofus Room Data | dRofus Room Data | Site-Building-Level-XXX.X (example "OPH-M-L1-120.2") | dRofus Room Data | From Element Geometry (mm) | From Element Geometry (mm) | From Element Geometry (mm) | From Element Geometry (mm) | From Element Geometry (m²) | From Element Geometry (m³) | Refer to WBS tab - WBS00-WBS01-WBS02-WBS03-WBS04-WBS05 (example "WBH-EA-GR-Z00-CV-EW2")
ROW 75: Buildings | Architecture | Furniture | Buildings\Architecture\Furniture\AMIR | FI | Fixtures & Fittings | BM | Boards & Mirrors | FIBO | NA | 3 | AMIR | Mirror | Architecture | Fixtures | Material Description |  |  | Not Applicable (leave it empty) |  | Pr_40_30_53 | Mirrors | Work Package Number - Refer to Work Package Tab | Building Permit Item - Refer to Building Permit Tab |  |  |  |  | From Element Geometry (mm) | From Element Geometry (mm) | From Element Geometry (mm) | From Element Geometry (mm) | From Element Geometry (m²) | From Element Geometry (m³) | Refer to WBS tab - WBS00-WBS01-WBS02-WBS03-WBS04-WBS05 (example "WBH-EA-GR-Z00-CV-EW2")
ROW 76: Buildings | Architecture | Equipment | Buildings\Architecture\Equipment\AMBR | FI | Fixtures & Fittings | HR | Hooks, Brackets & Racks | FIHR | NA | 3 | AMBR | Mop / Broom Rack | Architecture | Fixtures | Material Description |  |  | Refer to Systems Table |  | Pr_40_30_78 | Shelves, hangers and racks | Work Package Number - Refer to Work Package Tab | Building Permit Item - Refer to Building Permit Tab |  |  |  |  | From Element Geometry (mm) | From Element Geometry (mm) | From Element Geometry (mm) | From Element Geometry (mm) | From Element Geometry (m²) | From Element Geometry (m³) | Refer to WBS tab - WBS00-WBS01-WBS02-WBS03-WBS04-WBS05 (example "WBH-EA-GR-Z00-CV-EW2")
ROW 77: Buildings | Architecture | Equipment | Buildings\Architecture\Equipment\ASHL | FI | Fixtures & Fittings | JO | Joinery | FIJO | NA | 3 | ASHL | Shelf | Architecture | Fixtures | Material Description |  |  | Refer to Systems Table |  | Pr_40_30_78_78 | Shelves | Work Package Number - Refer to Work Package Tab | Building Permit Item - Refer to Building Permit Tab |  |  |  |  | From Element Geometry (mm) | From Element Geometry (mm) | From Element Geometry (mm) | From Element Geometry (mm) | From Element Geometry (m²) | From Element Geometry (m³) | Refer to WBS tab - WBS00-WBS01-WBS02-WBS03-WBS04-WBS05 (example "WBH-EA-GR-Z00-CV-EW2")
ROW 78: Buildings | Architecture | Equipment | Buildings\Architecture\Fixtures\ASDP | FI | Fixtures & Fittings | DI | Dispensers & Holders | FIDI | NA | 3 | ASDP | Soap Dispenser | Architecture | Fixtures | Material Description |  |  | Refer to Systems Table |  | Pr_40_70_22_81 | Soap dispensers | Work Package Number - Refer to Work Package Tab | Building Permit Item - Refer to Building Permit Tab |  |  |  |  | From Element Geometry (mm) | From Element Geometry (mm) | From Element Geometry (mm) | From Element Geometry (mm) | From Element Geometry (m²) | From Element Geometry (m³) | Refer to WBS tab - WBS00-WBS01-WBS02-WBS03-WBS04-WBS05 (example "WBH-EA-GR-Z00-CV-EW2")
ROW 79: Buildings | Architecture | Equipment | Buildings\Architecture\Fixtures\ADPS | FI | Fixtures & Fittings | DI | Dispensers & Holders | FIDI | WAL | 3 | ADPS | Wall dispensers | Architecture | Fixtures | Material Description |  |  | Refer to Systems Table |  | Pr_40_70_22 | Dispensers and acceptance units | Work Package Number - Refer to Work Package Tab | Building Permit Item - Refer to Building Permit Tab |  |  |  |  | From Element Geometry (mm) | From Element Geometry (mm) | From Element Geometry (mm) | From Element Geometry (mm) | From Element Geometry (m²) | From Element Geometry (m³) | Refer to WBS tab - WBS00-WBS01-WBS02-WBS03-WBS04-WBS05 (example "WBH-EA-GR-Z00-CV-EW2")
ROW 80: Buildings | Architecture | Fixtures | Buildings\Architecture\Fixtures\AFCB | FI | Fixtures & Fittings | GE | General | FIGE | WBN | 3 | AFCB | Filling Cabinets | Architecture | Fixtures | Material Description |  |  | Not Applicable (leave it empty) |  | Pr_40_30_87_29 | Filling Cabinets | Work Package Number - Refer to Work Package Tab | Building Permit Item - Refer to Building Permit Tab |  |  |  |  | From Element Geometry (mm) | From Element Geometry (mm) | From Element Geometry (mm) | From Element Geometry (mm) | From Element Geometry (m²) | From Element Geometry (m³) | Refer to WBS tab - WBS00-WBS01-WBS02-WBS03-WBS04-WBS05 (example "WBH-EA-GR-Z00-CV-EW2")
